"Tabela 1973 - Pessoas que frequentavam creche ou escola por nível de ensino, sexo e grupos de idade"
"Variável - Pessoas que frequentavam escola ou creche (Pessoas)"
"Brasil e Município";"Grupo de idade";"Ano x Nível de ensino ou curso que frequentavam x Sexo"
"Município";"Grupo de idade";"qtd_sup_10"
"Brasil e Município";"Grupo de idade";"Superior de graduação"
"Brasil e Município";"Grupo de idade";"Total"
"Sampaio (TO)";"Total";"84"
"Sandolândia (TO)";"Total";"14"
"Santa Fé do Araguaia (TO)";"Total";"143"
"Santa Maria do Tocantins (TO)";"Total";"43"
"Santa Rita do Tocantins (TO)";"Total";"36"
"Santa Rosa do Tocantins (TO)";"Total";"45"
"Santa Tereza do Tocantins (TO)";"Total";"51"
"Santa Terezinha do Tocantins (TO)";"Total";"62"
"São Bento do Tocantins (TO)";"Total";"37"
"São Félix do Tocantins (TO)";"Total";"12"
"São Miguel do Tocantins (TO)";"Total";"157"
"São Salvador do Tocantins (TO)";"Total";"22"
"São Sebastião do Tocantins (TO)";"Total";"40"
"São Valério (TO)";"Total";"63"
"Silvanópolis (TO)";"Total";"80"
"Sítio Novo do Tocantins (TO)";"Total";"172"
"Sucupira (TO)";"Total";"48"
"Taguatinga (TO)";"Total";"106"
"Taipas do Tocantins (TO)";"Total";"8"
"Talismã (TO)";"Total";"53"
"Palmas (TO)";"Total";"17943"
"Tocantínia (TO)";"Total";"119"
"Tocantinópolis (TO)";"Total";"655"
"Tupirama (TO)";"Total";"18"
"Tupiratins (TO)";"Total";"11"
"Wanderlândia (TO)";"Total";"249"
"Xambioá (TO)";"Total";"89"
"Açailândia (MA)";"Total";"1428"
"Afonso Cunha (MA)";"Total";"75"
"Água Doce do Maranhão (MA)";"Total";"138"
"Alcântara (MA)";"Total";"135"
"Aldeias Altas (MA)";"Total";"151"
"Altamira do Maranhão (MA)";"Total";"106"
"Alto Alegre do Maranhão (MA)";"Total";"211"
"Alto Alegre do Pindaré (MA)";"Total";"332"
"Alto Parnaíba (MA)";"Total";"155"
"Amapá do Maranhão (MA)";"Total";"62"
"Amarante do Maranhão (MA)";"Total";"583"
"Anajatuba (MA)";"Total";"228"
"Anapurus (MA)";"Total";"227"
"Apicum-Açu (MA)";"Total";"264"
"Araguanã (MA)";"Total";"126"
"Araioses (MA)";"Total";"331"
"Arame (MA)";"Total";"476"
"Arari (MA)";"Total";"323"
"Axixá (MA)";"Total";"113"
"Bacabal (MA)";"Total";"2309"
"Bacabeira (MA)";"Total";"119"
"Bacuri (MA)";"Total";"241"
"Bacurituba (MA)";"Total";"36"
"Balsas (MA)";"Total";"2145"
"Barão de Grajaú (MA)";"Total";"364"
"Barra do Corda (MA)";"Total";"949"
"Barreirinhas (MA)";"Total";"654"
"Belágua (MA)";"Total";"104"
"Bela Vista do Maranhão (MA)";"Total";"71"
"Benedito Leite (MA)";"Total";"87"
"Bequimão (MA)";"Total";"140"
"Bernardo do Mearim (MA)";"Total";"95"
"Boa Vista do Gurupi (MA)";"Total";"68"
"Bom Jardim (MA)";"Total";"280"
"Bom Jesus das Selvas (MA)";"Total";"124"
"Bom Lugar (MA)";"Total";"136"
"Brejo (MA)";"Total";"225"
"Brejo de Areia (MA)";"Total";"53"
"Buriti (MA)";"Total";"206"
"Buriti Bravo (MA)";"Total";"223"
"Buriticupu (MA)";"Total";"303"
"Buritirana (MA)";"Total";"164"
"Cachoeira Grande (MA)";"Total";"44"
"Cajapió (MA)";"Total";"30"
"Cajari (MA)";"Total";"105"
"Campestre do Maranhão (MA)";"Total";"328"
"Cândido Mendes (MA)";"Total";"441"
"Cantanhede (MA)";"Total";"195"
"Capinzal do Norte (MA)";"Total";"204"
"Carolina (MA)";"Total";"310"
"Carutapera (MA)";"Total";"301"
"Caxias (MA)";"Total";"5238"
"Cedral (MA)";"Total";"87"
"Central do Maranhão (MA)";"Total";"157"
"Centro do Guilherme (MA)";"Total";"101"
"Centro Novo do Maranhão (MA)";"Total";"290"
"Chapadinha (MA)";"Total";"1378"
"Cidelândia (MA)";"Total";"154"
"Codó (MA)";"Total";"1801"
"Coelho Neto (MA)";"Total";"452"
"Colinas (MA)";"Total";"466"
"Conceição do Lago-Açu (MA)";"Total";"169"
"Coroatá (MA)";"Total";"668"
"Cururupu (MA)";"Total";"451"
"Davinópolis (MA)";"Total";"132"
"Dom Pedro (MA)";"Total";"422"
"Duque Bacelar (MA)";"Total";"77"
"Esperantinópolis (MA)";"Total";"307"
"Estreito (MA)";"Total";"693"
"Feira Nova do Maranhão (MA)";"Total";"46"
"Fernando Falcão (MA)";"Total";"72"
"Formosa da Serra Negra (MA)";"Total";"340"
"Fortaleza dos Nogueiras (MA)";"Total";"102"
"Fortuna (MA)";"Total";"254"
"Godofredo Viana (MA)";"Total";"241"
"Gonçalves Dias (MA)";"Total";"230"
"Governador Archer (MA)";"Total";"99"
"Governador Edison Lobão (MA)";"Total";"148"
"Governador Eugênio Barros (MA)";"Total";"145"
"Governador Luiz Rocha (MA)";"Total";"74"
"Governador Newton Bello (MA)";"Total";"165"
"Governador Nunes Freire (MA)";"Total";"203"
"Graça Aranha (MA)";"Total";"88"
"Grajaú (MA)";"Total";"1213"
"Guimarães (MA)";"Total";"281"
"Humberto de Campos (MA)";"Total";"203"
"Icatu (MA)";"Total";"318"
"Igarapé do Meio (MA)";"Total";"155"
"Igarapé Grande (MA)";"Total";"272"
"Imperatriz (MA)";"Total";"10866"
"Itaipava do Grajaú (MA)";"Total";"207"
"Itapecuru Mirim (MA)";"Total";"748"
"Itinga do Maranhão (MA)";"Total";"328"
"Jatobá (MA)";"Total";"162"
"Jenipapo dos Vieiras (MA)";"Total";"174"
"João Lisboa (MA)";"Total";"459"
"Joselândia (MA)";"Total";"111"
"Junco do Maranhão (MA)";"Total";"64"
"Lago da Pedra (MA)";"Total";"634"
"Lago do Junco (MA)";"Total";"207"
"Lago Verde (MA)";"Total";"109"
"Lagoa do Mato (MA)";"Total";"136"
"Lago dos Rodrigues (MA)";"Total";"222"
"Lagoa Grande do Maranhão (MA)";"Total";"149"
"Lajeado Novo (MA)";"Total";"82"
"Lima Campos (MA)";"Total";"164"
"Loreto (MA)";"Total";"153"
"Luís Domingues (MA)";"Total";"77"
"Magalhães de Almeida (MA)";"Total";"291"
"Maracaçumé (MA)";"Total";"177"
"Marajá do Sena (MA)";"Total";"169"
"Maranhãozinho (MA)";"Total";"175"
"Mata Roma (MA)";"Total";"189"
"Matinha (MA)";"Total";"150"
"Matões (MA)";"Total";"231"
"Matões do Norte (MA)";"Total";"127"
"Milagres do Maranhão (MA)";"Total";"53"
"Mirador (MA)";"Total";"227"
"Miranda do Norte (MA)";"Total";"233"
"Mirinzal (MA)";"Total";"311"
"Monção (MA)";"Total";"418"
"Montes Altos (MA)";"Total";"148"
"Morros (MA)";"Total";"257"
"Nina Rodrigues (MA)";"Total";"168"
"Nova Colinas (MA)";"Total";"79"
"Nova Iorque (MA)";"Total";"45"
"Nova Olinda do Maranhão (MA)";"Total";"251"
"Olho d'Água das Cunhãs (MA)";"Total";"250"
"Olinda Nova do Maranhão (MA)";"Total";"66"
"Paço do Lumiar (MA)";"Total";"3259"
"Palmeirândia (MA)";"Total";"193"
"Paraibano (MA)";"Total";"193"
"Parnarama (MA)";"Total";"501"
"Passagem Franca (MA)";"Total";"248"
"Pastos Bons (MA)";"Total";"122"
"Paulino Neves (MA)";"Total";"270"
"Paulo Ramos (MA)";"Total";"275"
"Pedreiras (MA)";"Total";"1439"
"Pedro do Rosário (MA)";"Total";"173"
"Penalva (MA)";"Total";"369"
"Peri Mirim (MA)";"Total";"124"
"Peritoró (MA)";"Total";"142"
"Pindaré-Mirim (MA)";"Total";"761"
"Pinheiro (MA)";"Total";"1050"
"Pio XII (MA)";"Total";"216"
"Pirapemas (MA)";"Total";"69"
"Poção de Pedras (MA)";"Total";"310"
"Porto Franco (MA)";"Total";"556"
"Porto Rico do Maranhão (MA)";"Total";"112"
"Presidente Dutra (MA)";"Total";"682"
"Presidente Juscelino (MA)";"Total";"139"
"Presidente Médici (MA)";"Total";"41"
"Presidente Sarney (MA)";"Total";"26"
"Presidente Vargas (MA)";"Total";"242"
